customer_id,name,email,age,gender,city,state,segment,total_items_purchased,total_spent,num_orders,last_purchase_date,favourite_category,first_purchase_date,avg_order_value,age_group
C001,Sandra Lewis,sandra.lewis1@yahoo.com,40.0,F,Nashville,TN,New,83,3108.42,57,2025-06-18,Women,2024-01-29,54.53,35-44
C002,Kimberly Martinez,kimberly.martinez98@outlook.com,33.0,F,Charlotte,NC,Loyal,176,6903.24,67,2025-06-25,Women,2024-01-03,103.03,25-34
C003,Susan Thompson,susan.thompson78@outlook.com,42.0,F,Atlanta,GA,Seasonal,67,2501.08,43,2025-06-20,Women,2024-01-12,58.16,35-44
C004,Anna Davis,anna.davis11@icloud.com,53.0,F,Minneapolis,MN,Occasional,76,2777.74,48,2025-06-26,Women,2024-01-06,57.87,45-54
C005,Pamela Gonzalez,pamela.gonzalez6@yahoo.com,32.0,F,Phoenix,AZ,Seasonal,95,3634.3,60,2025-06-23,Women,2024-01-09,60.57,25-34
C006,Paul Edwards,paul.edwards49@outlook.com,32.0,M,San Antonio,TX,Occasional,78,2708.72,53,2025-06-23,Men,2024-01-02,51.11,25-34
C007,Lisa White,lisa.white27@outlook.com,53.0,F,Atlanta,GA,New,66,2642.09,40,2025-06-29,Women,2024-01-04,66.05,45-54
C008,Frank Green,frank.green69@yahoo.com,44.0,M,Austin,TX,Loyal,157,5549.68,61,2025-06-28,Men,2024-01-03,90.98,35-44
C009,Kimberly Green,kimberly.green88@outlook.com,29.0,F,Indianapolis,IN,Seasonal,86,2941.64,54,2025-06-27,Women,2024-01-03,54.47,25-34
C010,Paul Turner,paul.turner41@hotmail.com,41.0,M,Chicago,IL,Occasional,112,3681.88,61,2025-06-14,Men,2024-01-01,60.36,35-44
C011,Raymond Rivera,raymond.rivera28@hotmail.com,29.0,M,Las Vegas,NV,Occasional,104,3938.96,59,2025-06-26,Men,2024-01-01,66.76,25-34
C012,Karen Taylor,karen.taylor32@icloud.com,29.0,F,Dallas,TX,New,80,2966.7,47,2025-05-24,Women,2024-01-07,63.12,25-34
C013,Emma Sanchez,emma.sanchez29@yahoo.com,37.0,F,Miami,FL,New,91,3436.84,61,2025-06-07,Women,2024-01-07,56.34,35-44
C014,Michael Edwards,michael.edwards20@yahoo.com,18.0,M,San Diego,CA,Seasonal,63,2300.87,39,2025-06-30,Men,2024-01-04,59.0,18-24
C015,Nicole Jones,nicole.jones49@icloud.com,18.0,F,Minneapolis,MN,Bargain Hunter,106,3209.94,40,2025-06-19,Women,2024-01-14,80.25,18-24
